Stueck_Nr,Stueck_Titel
1,Der Zettelträger Papp (1827)
2,Sieben / Zwölf Mädchen in Uniform (1827)
3,Dreyssig Jahre aus dem Leben eines Lumpen / Die Verbannung aus dem Zauberreiche (1829)
4,Der Einsilbige oder Ein dummer Diener seines Herrn (1829)
5,"Der Tod am Hochzeitstage oder Mann, Frau, Kind (1829)"
6,Der unzusammenhängende Zusammenhang (1830)
7,Magische Eilwagenreise durch die Komödienwelt (1830)
8,Prinz Friedrich (zwischen 1822 und 1826/27)
9,Zwei Schüsseln voll Faschingskrapfen (1831)
10,Der gefühlvolle Kerckermeister oder Adelheid die verfolgte Wittib (1832)
11,Nagerl und Handschuh oder Die Schicksale der Familie Maxenpfutsch (1832)
12,Humoristische Eilwagenreise durch die Theaterwelt (1832)
13,Zampa der Tagdieb oder die Braut von Gips (1832)
14,Der confuse Zauberer oder Treue und Flatterhaftigkeit (1832)
15,Die Zauberreise in die Ritterzeit oder Die Übermüthigen (1832)
16,"Genius, Schuster und Marqueur oder Die Pyramieden der Verzauberung (1832)"
17,"Der Feenball oder Tischler, Schneider und Schlosser"
18,Der böse Geist Lumpacivagabundus oder Das liederliche Kleeblatt (1833)
19,"Der Zauberer Sulphurelectrimagnetikophosphoratus und die Fee Walpurgiblocksbergiseptemtrionalis oder Die Abenteuer in der Sclaverey oder Asiatische Strafe für europäische Vergehen oder Des ungeratenen Herrn Sohnes Leben, Taten und Meinungen, wie auch dessen Bestrafung in der Sklaverei und was sich all dort Ferneres mit ihm begab (1834)"
20,Robert der Teuxel (1833)
21,Der Tritschtratsch (1833)
22,"Müller, Kohlenbrenner und Sesseltrager oder Die Träume von Schale und Kern (1834)"
23,Das Verlobungsfest im Feenreiche oder Die Gleichheit der Jahre (1834)
24,Die Gleichheit der Jahre (1834)
25,Die Fahrt mit dem Dampfwagen (1834)
26,"Die Familien Zwirn, Knieriem und Leim oder Der Welt-Untergangs-Tag (1834)"
27,Weder Lorbeerbaum noch Bettelstab (1835)
28,Eulenspiegel oder Schabernack über Schabernack (1835)
29,Zu ebener Erde und erster Stock oder Die Launen des Glückes (1835)
30,Der Treulose oder Saat und Ernte (1836)
31,Die beiden Nachtwandler oder Das Notwendige und das Überflüssige (1836)
32,Der Affe und der Bräutigam (1836)
33,"Eine Wohnung ist zu vermieten in der Stadt, Eine Wohnung ist zu verlassen in der Vorstadt, Eine Wohnung mit Garten ist zu haben in Hietzing (1837)"
34,"Moppels Abentheuer im Viertel unter Wiener Wald, in Neu-Seeland und Marokko (1837)"
35,Das Haus der Temperamente (1837)
36,"Glück, Mißbrauch und Rückkehr oder Das Geheimnis des grauen Hauses (1838)"
37,Der Kobold oder Staberl im Feendienst (1838)
38,Gegen Thorheit giebt es kein Mittel (1838)
39,Die verhängnisvolle Faschingsnacht (1839)
40,Der Färber und sein Zwillingsbruder (1840)
41,Der Erbschleicher (1840)
42,Der Talisman (1840)
43,Das Mädl aus der Vorstadt oder Ehrlich währt am längsten (1841)
44,Einen Jux will er sich machen (1842)
45,Die Ereignisse im Gasthofe (1842)
46,Die Papiere des Teufels oder Der Zufall (1842)
47,Liebesgeschichten und Heurathssachen (1843)
48,Das Quodlibet verschiedener Jahrhunderte (1843)
49,Nur Ruhe! (1843)
50,"Eisenbahnheiraten oder Wien, Neustadt, Brünn (1844)"
51,Hinüber – Herüber – Hinüber – Herüber (1844)
52,Der Zerrissene (1844)
53,Die beiden Herrn Söhne (1845)
54,Das Gewürzkrämerkleeblatt oder Die unschuldig Schuldigen (1845)
55,Unverhofft (1845)
56,Der Unbedeutende (1846)
57,Zwey ewige Juden und Keiner (1846)
58,Der Schützling (1847)
59,Die schlimmen Buben in der Schule (1847)
60,Martha oder Die Mischmonder Markt-Mägde-Mietung (1848)
61,Die lieben Anverwandten (1848)
62,Freiheit in Krähwinkel (1848)
63,Lady und Schneider (1849)
64,Judith und Holofernes (1849)
65,Der alte Mann mit der jungen Frau (1849)
66,Höllenangst (1849)
67,„Sie sollen ihn nicht haben!“ oder Der holländische Bauer (1850) Der holländische Bauer (1850)
68,Karikaturen-Charivari mit Heurathszweck (1850)
69,Alles will den Prophet’n seh’n (1850)
70,Verwickelte Geschichte! (1850)
71,Mein Freund (1851)
72,Der gemüthliche Teufel oder Die Geschichte vom Bauer und von der Bäuerinn (1851)
73,Kampl (1852)
74,"Heimliches Geld, heimliche Liebe (1853)"
75,"Theaterg’schichten durch Liebe, Intrige, Geld und Dummheit (1854)"
76,Nur keck! (1856)
77,Umsonst (1857)
78,Tannhäuser (1857)
79,Ein gebildeter Hausknecht
80,Zeitvertreib (1858)
81,Lohengrin (1859)
82,Frühere Verhältnisse (1862)
83,Häuptling Abendwind oder Das gräuliche Festmahl (1862)
