play_0010,1,Der Zettelträger Papp,1827,1827
play_0020,2,Sieben / Zwölf Mädchen in Uniform,1827,1827
play_0030,3,Dreyssig Jahre aus dem Leben eines Lumpen / Die Verbannung aus dem Zauberreiche,1829,1829
play_0040,4,Der Einsilbige oder Ein dummer Diener seines Herrn,1829,1829
play_0050,5,"Der Tod am Hochzeitstage oder Mann, Frau, Kind",1829,1829
play_0060,6,Der unzusammenhängende Zusammenhang,1830,1830
play_0070,7,Magische Eilwagenreise durch die Komödienwelt,1830,1830
play_0080,8,Prinz Friedrich,zwischen 1822 und 1826/27,zwischen 1822 und 1826/27
play_0090,9,Zwei Schüsseln voll Faschingskrapfen,1831,1831
play_0100,10,Der gefühlvolle Kerckermeister oder Adelheid die verfolgte Wittib,1832,1832
play_0110,11,Nagerl und Handschuh oder Die Schicksale der Familie Maxenpfutsch,1832,1832
play_0120,12,Humoristische Eilwagenreise durch die Theaterwelt,1832,1832
play_0130,13,Zampa der Tagdieb oder die Braut von Gips,1832,1832
play_0140,14,Der confuse Zauberer oder Treue und Flatterhaftigkeit,1832,1832
play_0150,15,Die Zauberreise in die Ritterzeit oder Die Übermüthigen,1832,1832
play_0160,16,"Genius, Schuster und Marqueur oder Die Pyramieden der Verzauberung",1832,1832
play_0170,17,"Der Feenball oder Tischler, Schneider und Schlosser",,
play_0180,18,Der böse Geist Lumpacivagabundus oder Das liederliche Kleeblatt,1833,1833
play_0190,19,"Der Zauberer Sulphurelectrimagnetikophosphoratus und die Fee Walpurgiblocksbergiseptemtrionalis oder Die Abenteuer in der Sclaverey oder Asiatische Strafe für europäische Vergehen oder Des ungeratenen Herrn Sohnes Leben, Taten und Meinungen, wie auch dessen Bestrafung in der Sklaverei und was sich all dort Ferneres mit ihm begab",1834,1834
play_0200,20,Robert der Teuxel,1833,1833
play_0210,21,Der Tritschtratsch,1833,1833
play_0220,22,"Müller, Kohlenbrenner und Sesseltrager oder Die Träume von Schale und Kern",1834,1834
play_0230,23,Das Verlobungsfest im Feenreiche oder Die Gleichheit der Jahre,1834,1834
play_0240,24,Die Gleichheit der Jahre,1834,1834
play_0250,25,Die Fahrt mit dem Dampfwagen,1834,1834
play_0260,26,"Die Familien Zwirn, Knieriem und Leim oder Der Welt-Untergangs-Tag",1834,1834
play_0270,27,Weder Lorbeerbaum noch Bettelstab,1835,1835
play_0280,28,Eulenspiegel oder Schabernack über Schabernack,1835,1835
play_0290,29,Zu ebener Erde und erster Stock oder Die Launen des Glückes,1835,1835
play_0300,30,Der Treulose oder Saat und Ernte,1836,1836
play_0310,31,Die beiden Nachtwandler oder Das Notwendige und das Überflüssige,1836,1836
play_0320,32,Der Affe und der Bräutigam,1836,1836
play_0330,33,"Eine Wohnung ist zu vermieten in der Stadt, Eine Wohnung ist zu verlassen in der Vorstadt, Eine Wohnung mit Garten ist zu haben in Hietzing",1837,1837
play_0340,34,"Moppels Abentheuer im Viertel unter Wiener Wald, in Neu-Seeland und Marokko",1837,1837
play_0350,35,Das Haus der Temperamente,1837,1837
play_0360,36,"Glück, Mißbrauch und Rückkehr oder Das Geheimnis des grauen Hauses",1838,1838
play_0370,37,Der Kobold oder Staberl im Feendienst,1838,1838
play_0380,38,Gegen Thorheit giebt es kein Mittel,1838,1838
play_0390,39,Die verhängnisvolle Faschingsnacht,1839,1839
play_0400,40,Der Färber und sein Zwillingsbruder,1840,1840
play_0410,41,Der Erbschleicher,1840,1840
play_0420,42,Der Talisman,1840,1840
play_0430,43,Das Mädl aus der Vorstadt oder Ehrlich währt am längsten,1841,1841
play_0440,44,Einen Jux will er sich machen,1842,1842
play_0450,45,Die Ereignisse im Gasthofe,1842,1842
play_0460,46,Die Papiere des Teufels oder Der Zufall,1842,1842
